x, y, output
0.16, 0.08, 0.005427001842013662
0.2, 0.08, 0.006112517454963784
0.24, 0.08, 0.0069189300418665235
0.28, 0.08, 0.007871423893706521
0.32, 0.08, 0.00900100560952767
0.36, 0.08, 0.01034591867802768
0.4, 0.08, 0.011953394376176735
0.44, 0.08, 0.013881805763502652
0.48, 0.08, 0.016203294993760095
0.52, 0.08, 0.01900694022565259
0.56, 0.08, 0.022402510974908026
0.6, 0.08, 0.026524820518972633
0.64, 0.08, 0.031538607549881255
0.68, 0.08, 0.03764374860714152
0.72, 0.08, 0.04508039579168779
0.76, 0.08, 0.05413332803391847
0.8, 0.08, 0.06513438378906142
0.84, 0.08, 0.07846131843369065
0.88, 0.08, 0.09453086425067203
0.92, 0.08, 0.11378332040536462
0.96, 0.08, 0.13665594995550676
0.0, 0.12, 0.003879555074283394
0.04, 0.12, 0.004307493252028415
0.08, 0.12, 0.004804985897149128
0.12, 0.12, 0.005385676099183832
0.16, 0.12, 0.006066245501464874
0.2, 0.12, 0.006867147753962369
0.24, 0.12, 0.007813524826737861
0.28, 0.12, 0.008936349992989178
0.32, 0.12, 0.01027384968816194
0.36, 0.12, 0.011873264911626503
0.4, 0.12, 0.013793020077692326
0.44, 0.12, 0.01610537094066697
0.48, 0.12, 0.018899599538508498
0.52, 0.12, 0.022285806824619683
0.56, 0.12, 0.026399313347060117
0.6, 0.12, 0.031405601345977106
0.64, 0.12, 0.03750559952063632
0.68, 0.12, 0.04494090179501139
0.72, 0.12, 0.05399820016746189
0.76, 0.12, 0.06501178352598692
0.8, 0.12, 0.07836241888046128
0.84, 0.12, 0.09447035319822851
0.88, 0.12, 0.11377971202715759
0.92, 0.12, 0.13673151773886094
0.96, 0.12, 0.1637233351459399
0.0, 0.16, 0.004276186977497664
0.04, 0.16, 0.004769876528493502
0.08, 0.16, 0.005346306018494646
0.12, 0.16, 0.006022109962652334
0.16, 0.16, 0.006817695232418444
0.2, 0.16, 0.007758160399205105
0.24, 0.16, 0.008874443353780046
0.28, 0.16, 0.010204750050306497
0.32, 0.16, 0.011796325890754415
0.36, 0.16, 0.013707638751763137
0.4, 0.16, 0.016011046645431713
0.44, 0.16, 0.018796019585298585
0.48, 0.16, 0.022172968125060026
0.52, 0.16, 0.026277690667116223
0.56, 0.16, 0.0312763741155324
0.6, 0.16, 0.03737094894125196
0.64, 0.16, 0.04480438702269332
0.68, 0.16, 0.053865214526274005
0.72, 0.16, 0.0648900762962795
0.76, 0.16, 0.07826264221237454
0.8, 0.16, 0.09440655506512928
0.84, 0.16, 0.1137696461012893
0.88, 0.16, 0.13679658789906726
0.92, 0.16, 0.16388795537879425
0.96, 0.16, 0.1953458146117034
0.0, 0.2, 0.004736557378597503
0.04, 0.2, 0.005308898371048034
0.08, 0.2, 0.005980123279311802
0.12, 0.2, 0.006770592049317298
0.16, 0.2, 0.007705359055390797
0.2, 0.2, 0.008815325062176246
0.24, 0.2, 0.010138672456454017
0.28, 0.2, 0.011722646083706451
0.32, 0.2, 0.01362574975111374
0.36, 0.2, 0.01592043271511205
0.4, 0.2, 0.018696337310283005
0.44, 0.2, 0.02206416194972284
0.48, 0.2, 0.02616015331473491
0.52, 0.2, 0.03115116353432015
0.56, 0.2, 0.03724007333198312
0.6, 0.2, 0.04467116674671624
0.64, 0.2, 0.053734722255200484
0.68, 0.2, 0.06476964197234104
0.72, 0.2, 0.07816238429860484
0.76, 0.2, 0.09433986210926212
0.8, 0.2, 0.11375348394494159
0.84, 0.2, 0.13685145589014017
0.88, 0.2, 0.16403727851914585
0.92, 0.2, 0.1956145689381154
0.96, 0.2, 0.23172220252688452
0.0, 0.24, 0.0052734590150425985
0.04, 0.24, 0.005940296730849077
0.08, 0.24, 0.006725856339306678
0.12, 0.24, 0.007655147502439398
0.16, 0.24, 0.008759032435250787
0.2, 0.24, 0.010075667224822935
0.24, 0.24, 0.011652291579711429
0.28, 0.24, 0.013547438092363504
0.32, 0.24, 0.015833636615341776
0.36, 0.24, 0.018600686447332312
0.4, 0.24, 0.021959552279986833
0.44, 0.24, 0.026046899419994118
0.48, 0.24, 0.031030205327905968
0.52, 0.24, 0.037113248449683715
0.56, 0.24, 0.04454155740330236
0.6, 0.24, 0.05360707830899995
0.64, 0.24, 0.0646508678062834
0.68, 0.24, 0.0780620530122977
0.72, 0.24, 0.09427068435766041
0.76, 0.24, 0.11373161156231876
0.8, 0.24, 0.13689644982922547
0.84, 0.24, 0.16417153483702904
0.88, 0.24, 0.19586200595396663
0.92, 0.24, 0.2321061033747176
0.96, 0.24, 0.2728090448204204
0.0, 0.28, 0.005902640552621705
0.04, 0.28, 0.0066835049216278095
0.08, 0.28, 0.007607550833244649
0.12, 0.28, 0.00870560085526222
0.16, 0.28, 0.010015782406577198
0.2, 0.28, 0.01158532587287093
0.24, 0.28, 0.013472785896634224
0.28, 0.28, 0.01575076267709673
0.32, 0.28, 0.01850919746383595
0.36, 0.28, 0.02185929986791853
0.4, 0.28, 0.02593812416992748
0.44, 0.28, 0.030913732915224153
0.48, 0.28, 0.0369907488544197
0.52, 0.28, 0.04441587595967593
0.56, 0.28, 0.05348264068007754
0.6, 0.28, 0.06453414754018572
0.64, 0.28, 0.07796206726943425
0.68, 0.28, 0.09419944865028614
0.72, 0.28, 0.11370443880254932
0.76, 0.28, 0.13693192990733324
0.8, 0.28, 0.1642909958933643
0.84, 0.28, 0.1960882668645291
0.88, 0.28, 0.23246141420523964
0.92, 0.28, 0.273312301396217
0.96, 0.28, 0.3182545721699021
0.0, 0.32, 0.0066435534242224705
0.04, 0.32, 0.007562592653274452
0.08, 0.32, 0.008655063894240343
0.12, 0.32, 0.009959063901390742
0.16, 0.32, 0.011521809959772897
0.2, 0.32, 0.013401872457847873
0.24, 0.32, 0.015671912121682303
0.28, 0.32, 0.018421997525744794
0.32, 0.32, 0.021763562122393696
0.36, 0.32, 0.025834019595188964
0.4, 0.32, 0.030801977075173237
0.44, 0.32, 0.036872847437743696
0.48, 0.32, 0.04429443929175596
0.52, 0.32, 0.05336176962430548
0.56, 0.32, 0.06441988049595967
0.6, 0.32, 0.07786285602280785
0.64, 0.32, 0.09412659760871343
0.68, 0.32, 0.11367239840780313
0.72, 0.32, 0.13695828765347035
0.76, 0.32, 0.1643959741769787
0.8, 0.32, 0.19629354416099087
0.84, 0.32, 0.2327881690727679
0.88, 0.32, 0.2737785602025732
0.92, 0.32, 0.3188722038901905
0.96, 0.32, 0.3673648149675489
0.0, 0.36, 0.007520295210556057
0.04, 0.36, 0.008607453443882574
0.08, 0.36, 0.009905555580889016
0.12, 0.36, 0.011461802447927359
0.16, 0.36, 0.01333477432507573
0.2, 0.36, 0.015597183103112124
0.24, 0.36, 0.018339210483177007
0.28, 0.36, 0.021672493018377835
0.32, 0.36, 0.025734774381332436
0.36, 0.36, 0.030695165637411218
0.4, 0.36, 0.036759814971984446
0.44, 0.36, 0.04417756357588829
0.48, 0.36, 0.0532448268890537
0.52, 0.36, 0.06430847064979588
0.56, 0.36, 0.07776485721655604
0.6, 0.36, 0.09405258853498785
0.64, 0.36, 0.11363594495584034
0.68, 0.36, 0.13697594505425525
0.72, 0.36, 0.16448682255828903
0.76, 0.36, 0.19647808156653476
0.8, 0.36, 0.2330864644334253
